Problem,Difficulty,Tags,Worst Complexity,Link
"Given an array of intervals where intervals[i] = [starti, endi], merge all overlapping intervals, and return an array of the non-overlapping intervals that cover all the intervals in the input.",Medium,Implementation,NlogN,https://leetcode.com/problems/merge-intervals/
"There is a robot on an m x n grid. The robot is initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time.

Given the two integers m and n, return the number of possible unique paths that the robot can take to reach the bottom-right corner.

The test cases are generated so that the answer will be less than or equal to 2 * 109.",Medium,Dynamic Programming,N^2,https://leetcode.com/problems/unique-paths/
"You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?",Easy,Dynamic Programming,N,https://leetcode.com/problems/climbing-stairs/
"Given an array nums with n objects colored red, white, or blue, sort them in-place so that objects of the same color are adjacent, with the colors in the order red, white, and blue.

We will use the integers 0, 1, and 2 to represent the color red, white, and blue, respectively.

You must solve this problem without using the library's sort function.",Medium,Sliding Window,N,https://leetcode.com/problems/sort-colors/solutions/
"Given two strings s and t of lengths m and n respectively, return the minimum window 
substring
 of s such that every character in t (including duplicates) is included in the window. If there is no such substring, return the empty string """"",Hard,Sliding Window,N,https://leetcode.com/problems/minimum-window-substring/
"Given an integer array nums of unique elements, return all possible 
subsets
 (the power set).",Medium,Backtracking,2^N,https://leetcode.com/problems/subsets/
"Given an m x n grid of characters board and a string word, return true if word exists in the grid.

The word can be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once.",Medium,DFS,N^2,https://leetcode.com/problems/word-search/
"Given the root of a binary tree, return the inorder traversal of its nodes' values.",Easy,Implementation,N,https://leetcode.com/problems/binary-tree-inorder-traversal/
"Given the root of a binary tree, return the level order traversal of its nodes' values. (i.e., from left to right, level by level).",Medium,DFS;BFS,N,https://leetcode.com/problems/binary-tree-level-order-traversal/
"Given the root of a binary tree, return the zigzag level order traversal of its nodes' values. (i.e., from left to right, then right to left for the next level and alternate between)",Medium,DFS;BFS,N,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/description/
A binary tree's maximum depth is the number of nodes along the longest path from the root node down to the farthest leaf node.,Easy,DFS,N,https://leetcode.com/problems/maximum-depth-of-binary-tree/
"You are given an array prices where prices[i] is the price of a given stock on the ith day.

You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock.

Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0.",Easy,Dynamic Programming,N,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
"You are given an integer array prices where prices[i] is the price of a given stock on the ith day.

On each day, you may decide to buy and/or sell the stock. You can only hold at most one share of the stock at any time. However, you can buy it then immediately sell it on the same day.

Find and return the maximum profit you can achieve.",Medium,Dynamic Programming,N,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
"A path in a binary tree is a sequence of nodes where each pair of adjacent nodes in the sequence has an edge connecting them. A node can only appear in the sequence at most once. Note that the path does not need to pass through the root.

The path sum of a path is the sum of the node's values in the path.

Given the root of a binary tree, return the maximum path sum of any non-empty path.",Hard,Implementation,N,https://leetcode.com/problems/binary-tree-maximum-path-sum/
"A phrase is a palindrome if, after converting all uppercase letters into lowercase letters and removing all non-alphanumeric characters, it reads the same forward and backward. Alphanumeric characters include letters and numbers.

Given a string s, return true if it is a palindrome, or false otherwise.",Easy,Implementation,N,https://leetcode.com/problems/valid-palindrome/
A transformation sequence from word beginWord to word endWord using a dictionary wordList is a sequence of words beginWord -> s1 -> s2 -> ... -> sk such that:,Hard,BFS;DFS,N^2,https://leetcode.com/problems/word-ladder/
"Given an unsorted array of integers nums, return the length of the longest consecutive elements sequence.
",Medium,Dynamic Programming,N,https://leetcode.com/problems/longest-consecutive-sequence/
"Every adjacent pair of wordGiven an m x n matrix board containing 'X' and 'O', capture all regions that are 4-directionally surrounded by 'X'.

A region is captured by flipping all 'O's into 'X's in that surrounded region.s differs by a single letter.",Medium,BFS;DFS,N^2,https://leetcode.com/problems/surrounded-regions/
"Every si for 1 <= i <= k is in wordList. Note that begiGiven a string s, partition s such that every 
substring
 of the partition is a 
palindrome
. Return all possible palindrome partitioning of s.nWord does not need to be in wordList.",Medium,Dynamic Programming;Backtracking,N*2^N,https://leetcode.com/problems/palindrome-partitioning/description/
"sk == endWordThere are n gas stations along a circular route, where the amount of gas at the ith station is gas[i].

You have a car with an unlimited gas tank and it costs cost[i] of gas to travel from the ith station to its next (i + 1)th station. You begin the journey with an empty tank at one of the gas stations.

Given two integer arrays gas and cost, return the starting gas station's index if you can travel around the circuit once in the clockwise direction, otherwise return -1. If there exists a solution, it is guaranteed to be unique",Medium,Greedy,N,https://leetcode.com/problems/gas-station/
"Given a non-empty array of integers nums, every element appears twice except for one. Find that single one.

You must implement a solution with a linear runtime complexity and use only constant extra space.",Easy,Bit manipulation,1,https://leetcode.com/problems/single-number/
"Given two words, beginWord Given a string s and a dictionary of strings wordDict, return true if s can be segmented into a space-separated sequence of one or more dictionary words.

Note that the same word in the dictionary may be reused multiple times in the segmentation.and endWord, and a dictionary wordList, return the number of words in the shortest transformation sequence from beginWord to endWord, or 0 if no such sequence exists.",Medium,Dynamic Programming,N^3,https://leetcode.com/problems/word-break/
"Given a string s and a dictionary of strings wordDict, add spaces in s to construct a sentence where each word is a valid dictionary word. Return all such possible sentences in any order.

Note that the same word in the dictionary may be reused multiple times in the segmentation.",Hard,Backtracking,2^N,https://leetcode.com/problems/word-break-ii/
"Given the head of a linked list, return the list after sorting it in ascending order.",Medium,Implementation,N,https://leetcode.com/problems/sort-list/
"Given an array of points where points[i] = [xi, yi] represents a point on the X-Y plane, return the maximum number of points that lie on the same straight line.",Hard,Hashmap;Math,N^2,https://leetcode.com/problems/max-points-on-a-line/
"Given an integer array nums, find a 
subarray
 that has the largest product, and return the product.

The test cases are generated so that the answer will fit in a 32-bit integer.",Medium,Dynamic Programming,N,https://leetcode.com/problems/maximum-product-subarray/
"A peak element is an element that is strictly greater than its neighbors.

Given a 0-indexed integer array nums, find a peak element, and return its index. If the array contains multiple peaks, return the index to any of the peaks.

You may imagine that nums[-1] = nums[n] = -∞. In other words, an element is always considered to be strictly greater than a neighbor that is outside the array.

",Medium,Binary Search,log(N),https://leetcode.com/problems/find-peak-element/
"Given an array nums of size n, return the majority element.

The majority element is the element that appears more than ⌊n / 2⌋ times. You may assume that the majority element always exists in the array.",Easy,Implementation,1,https://leetcode.com/problems/majority-element/
"Given a list of non-negative integers nums, arrange them such that they form the largest number and return it.

Since the result may be very large, so you need to return a string instead of an integer.",Medium,Implementation,N^2logN,https://leetcode.com/problems/largest-number/solutions/53158/my-java-solution-to-share/
Reverse bits of a given 32 bits unsigned integer.,Easy,Bit manipulation,1,https://leetcode.com/problems/reverse-bits/
Write a function that takes the binary representation of an unsigned integer and returns the number of '1' bits it has (also known as the Hamming weight).,Easy,Bit manipulation,1,https://leetcode.com/problems/number-of-1-bits/description/
"You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed, the only constraint stopping you from robbing each of them is that adjacent houses have security systems connected and it will automatically contact the police if two adjacent houses were broken into on the same night.

Given an integer array nums representing the amount of money of each house, return the maximum amount of money you can rob tonight without alerting the police.",Medium,Dynamic Programming,N,https://leetcode.com/problems/house-robber/
"Given an m x n 2D binary grid grid which represents a map of '1's (land) and '0's (water), return the number of islands.

An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically. You may assume all four edges of the grid are all surrounded by water.",Medium,BFS;DFS,N^2,https://leetcode.com/problems/number-of-islands/
"Given the head of a singly linked list, reverse the list, and return the reversed list.",Easy,Implementation,N,https://leetcode.com/problems/reverse-linked-list/
"There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai.

For example, the pair [0, 1], indicates that to take course 0 you have to first take course 1.
Return true if you can finish all courses. Otherwise, return false",Medium,BFS;DFS,N,https://leetcode.com/problems/course-schedule/description/
"Given an integer array nums and an integer k, return the kth largest element in the array.

Note that it is the kth largest element in the sorted order, not the kth distinct element.

",Medium,Priority Queue,NlogN,https://leetcode.com/problems/kth-largest-element-in-an-array/
"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct.

 ",Easy,Hashmap,N,https://leetcode.com/problems/contains-duplicate/
"Given the root of a binary search tree, and an integer k, return the kth smallest value (1-indexed) of all the values of the nodes in the tree.",Medium,BFS;DFS,N,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
"Given an integer array nums, return an array answer such that answer[i] is equal to the product of all the elements of nums except nums[i].

The product of any prefix or suffix of nums is guaranteed to fit in a 32-bit integer.

You must write an algorithm that runs in O(n) time and without using the division operation",Medium,Dynamic Programming,N,https://leetcode.com/problems/product-of-array-except-self/description/
"Write an efficient algorithm that searches for a value target in an m x n integer matrix matrix. This matrix has the following properties:

Integers in each row are sorted in ascending from left to right.
Integers in each column are sorted in ascending from top to bottom.",Medium,Implementation,N,https://leetcode.com/problems/search-a-2d-matrix-ii/
"Given two strings s and t, return true if t is an anagram of s, and false otherwise.

An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.",Easy,Hashmap,N,https://leetcode.com/problems/valid-anagram/description/
"Given an array nums containing n distinct numbers in the range [0, n], return the only number in the range that is missing from the array.",Easy,Bit manipulation,N,https://leetcode.com/problems/missing-number/
"Given an array of integers nums containing n + 1 integers where each integer is in the range [1, n] inclusive.

There is only one repeated number in nums, return this repeated number.

You must solve the problem without modifying the array nums and uses only constant extra space.",Medium,Bit manipulation,N,https://leetcode.com/problems/find-the-duplicate-number/
"Given an integer array nums, return the length of the longest strictly increasing 
subsequence
.",Medium,Dynamic Programming,N^2,https://leetcode.com/problems/longest-increasing-subsequence/
"You are given an integer array coins representing coins of different denominations and an integer amount representing a total amount of money.

Return the fewest number of coins that you need to make up that amount. If that amount of money cannot be made up by any combination of the coins, return -1.

You may assume that you have an infinite number of each kind of coin.",Medium,Dynamic Programming,N,https://leetcode.com/problems/coin-change/description/
"Given the head of a singly linked list, group all the nodes with odd indices together followed by the nodes with even indices, and return the reordered list.

The first node is considered odd, and the second node is even, and so on.

Note that the relative order inside both the even and odd groups should remain as it was in the input.

You must solve the problem in O(1) extra space complexity and O(n) time complexity.",Medium,Linked List;Implementation,N,https://leetcode.com/problems/odd-even-linked-list/
"Given an m x n integers matrix, return the length of the longest increasing path in matrix.

From each cell, you can either move in four directions: left, right, up, or down. You may not move diagonally or move outside the boundary (i.e., wrap-around is not allowed)",Hard,Dynamic Programming,N^2,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/description/
"Write a function that reverses a string. The input string is given as an array of characters s.

You must do this by modifying the input array in-place with O(1) extra memory.",Easy,Implementation,N,https://leetcode.com/problems/reverse-string/
"Given an integer array nums and an integer k, return the k most frequent elements. You may return the answer in any order.",Medium,Hashmap,N,https://leetcode.com/problems/top-k-frequent-elements/
"Given a string s, find the first non-repeating character in it and return its index. If it does not exist, return -1.",Easy,Hashmap,N,https://leetcode.com/problems/first-unique-character-in-a-string/
"Given four integer arrays nums1, nums2, nums3, and nums4 all of length n, return the number of tuples (i, j, k, l) such that:

0 <= i, j, k, l < n
nums1[i] + nums2[j] + nums3[k] + nums4[l] == 0",Medium,Hashmap;Binary Search,N^2,https://leetcode.com/problems/4sum-ii/description/
